nsb,periode,pakai,tahun,bulan,pakai_original,pakai_normalized,cluster,year,month,Cluster,lat,lon
104433280,2015-04-01,25.0,2015,4,25,0.1269841269841269,1,2015,4,2,-7.732118193807745,109.0210702893175
104433280,2015-05-01,23.0,2015,5,23,0.1164021164021164,1,2015,5,2,-7.732222484450597,109.02107047477745
104433280,2015-06-01,24.0,2015,6,24,0.1216931216931216,1,2015,6,2,-7.732244695991415,109.02107066023738
104433280,2015-07-01,18.0,2015,7,18,0.0899470899470899,1,2015,7,2,-7.732276597554565,109.02107084569732
104433280,2015-08-01,26.0,2015,8,26,0.1322751322751322,1,2015,8,2,-7.732324852861808,109.02107103115728
104433280,2015-09-01,19.0,2015,9,19,0.0952380952380952,1,2015,9,2,-7.732179946834153,109.02107121661722
104433280,2015-10-01,14.0,2015,10,14,0.0687830687830687,1,2015,10,2,-7.732285964013015,109.02107140207715
104433280,2015-11-01,10.0,2015,11,10,0.0476190476190476,2,2015,11,2,-7.732496706970359,109.0210715875371
104433280,2015-12-01,21.0,2015,12,21,0.1058201058201058,1,2015,12,2,-7.732411718646171,109.02107177299703
104433280,2016-01-01,26.0,2016,1,26,0.1322751322751322,1,2016,1,2,-7.73231858457522,109.02107195845697
104433280,2016-02-01,19.0,2016,2,19,0.0952380952380952,1,2016,2,2,-7.732269000101684,109.02107214391691
104433280,2016-03-01,27.0,2016,3,27,0.1375661375661375,1,2016,3,2,-7.73230565884889,109.02107232937685
104433280,2016-04-01,23.0,2016,4,23,0.1164021164021164,1,2016,4,2,-7.732178102921021,109.0210725148368
104433280,2016-05-01,22.0,2016,5,22,0.1111111111111111,1,2016,5,2,-7.732495110186404,109.02107270029674
104433280,2016-06-01,17.0,2016,6,17,0.0846560846560846,1,2016,6,2,-7.73228564120635,109.02107288575668
104433280,2016-07-01,27.0,2016,7,27,0.1375661375661375,1,2016,7,2,-7.7324817979225395,109.02107307121662
104433280,2016-08-01,6.0,2016,8,6,0.0264550264550264,2,2016,8,2,-7.732224028770452,109.02107325667656
104433280,2016-09-01,17.0,2016,9,17,0.0846560846560846,1,2016,9,2,-7.7323094458714445,109.0210734421365
104433280,2016-10-01,15.147368421052631,2016,10,0,0.0748538011695906,1,2016,10,2,-7.732258039002798,109.02107362759644
104433280,2016-11-01,15.147368421052631,2016,11,0,0.0748538011695906,1,2016,11,2,-7.732386388296059,109.02107381305638
104433280,2016-12-01,15.147368421052631,2016,12,0,0.0748538011695906,1,2016,12,2,-7.732172053506835,109.02107399851631
104433280,2017-01-01,15.147368421052631,2017,1,0,0.0748538011695906,1,2017,1,2,-7.7321958275335945,109.02107418397627
104433280,2017-02-01,15.147368421052631,2017,2,0,0.0748538011695906,1,2017,2,2,-7.732241645569699,109.0210743694362
104433280,2017-03-01,15.147368421052631,2017,3,0,0.0748538011695906,1,2017,3,2,-7.732312951724687,109.02107455489615
104433280,2017-04-01,15.147368421052631,2017,4,0,0.0748538011695906,1,2017,4,2,-7.7322420142714705,109.02107474035608
104433280,2017-05-01,15.147368421052631,2017,5,0,0.0748538011695906,1,2017,5,2,-7.732370689256799,109.02107492581602
104433280,2017-06-01,15.147368421052631,2017,6,0,0.0748538011695906,1,2017,6,2,-7.732214444434098,109.02107511127596
104433280,2017-07-01,15.147368421052631,2017,7,0,0.0748538011695906,1,2017,7,2,-7.732135051910568,109.0210752967359
104433280,2017-08-01,15.147368421052631,2017,8,0,0.0748538011695906,1,2017,8,2,-7.732192938944002,109.02107548219584
104433280,2017-09-01,5.0,2017,9,5,0.0211640211640211,2,2017,9,2,-7.732372960246981,109.0210756676558
104433280,2017-10-01,15.147368421052631,2017,10,0,0.0748538011695906,1,2017,10,2,-7.732263858268273,109.02107585311573
104433280,2017-11-01,15.147368421052631,2017,11,0,0.0748538011695906,1,2017,11,2,-7.732429314154376,109.02107603857567
104433280,2017-12-01,16.0,2017,12,16,0.0793650793650793,1,2017,12,2,-7.732242760968883,109.02107622403561
104433280,2018-01-01,8.0,2018,1,8,0.037037037037037,2,2018,1,2,-7.732254939658715,109.02107640949555
104433280,2018-01-01,8.0,2018,1,8,0.037037037037037,2,2018,1,2,-7.732486981633953,109.02107659495549
104433280,2018-02-01,28.0,2018,2,28,0.1428571428571428,1,2018,2,2,-7.732416178384391,109.02107678041543
104433280,2018-02-01,28.0,2018,2,28,0.1428571428571428,1,2018,2,2,-7.732328313889675,109.02107696587537
104433280,2018-03-01,23.0,2018,3,23,0.1164021164021164,1,2018,3,0,-7.732330085974715,109.02107715133532
104433280,2018-03-01,23.0,2018,3,23,0.1164021164021164,1,2018,3,0,-7.732420947693543,109.02107733679526
104433280,2018-04-01,22.0,2018,4,22,0.1111111111111111,1,2018,4,0,-7.732261102127065,109.0210775222552
104433280,2018-04-01,22.0,2018,4,22,0.1111111111111111,1,2018,4,0,-7.732274852639106,109.02107770771514
104433280,2018-05-01,21.0,2018,5,21,0.1058201058201058,1,2018,5,0,-7.7323194269131985,109.02107789317508
104433280,2018-05-01,21.0,2018,5,21,0.1058201058201058,1,2018,5,0,-7.732375579150016,109.02107807863501
104433280,2018-06-01,20.0,2018,6,20,0.1005291005291005,1,2018,6,0,-7.7321951292873585,109.02107826409495
104433280,2018-06-01,20.0,2018,6,20,0.1005291005291005,1,2018,6,0,-7.732134459288692,109.02107844955489
104433280,2018-07-01,28.0,2018,7,28,0.1428571428571428,1,2018,7,0,-7.7323483561483854,109.02107863501483
104433280,2018-07-01,28.0,2018,7,28,0.1428571428571428,1,2018,7,0,-7.732361216691716,109.02107882047478
104433280,2018-08-01,13.0,2018,8,13,0.0634920634920634,2,2018,8,0,-7.732250879233459,109.02107900593472
104433280,2018-08-01,13.0,2018,8,13,0.0634920634920634,2,2018,8,0,-7.732335802937975,109.02107919139466
104433280,2018-09-01,12.0,2018,9,12,0.0582010582010582,2,2018,9,0,-7.732313939720067,109.0210793768546
104433280,2018-09-01,12.0,2018,9,12,0.0582010582010582,2,2018,9,0,-7.732226034684828,109.02107956231454
104433280,2018-10-01,34.0,2018,10,34,0.1746031746031746,0,2018,10,0,-7.732490935608751,109.02107974777448
104433280,2018-10-01,34.0,2018,10,34,0.1746031746031746,0,2018,10,0,-7.732168169767515,109.02107993323442
104433280,2018-11-01,9.0,2018,11,9,0.0423280423280423,2,2018,11,0,-7.732292731947568,109.02108011869436
104433280,2018-11-01,9.0,2018,11,9,0.0423280423280423,2,2018,11,0,-7.732341149314457,109.02108030415431
104433280,2018-12-01,2.0,2018,12,2,0.0052910052910052,2,2018,12,0,-7.732308923415423,109.02108048961425
104433280,2018-12-01,2.0,2018,12,2,0.0052910052910052,2,2018,12,0,-7.732303757064498,109.02108067507419
104433280,2019-01-01,6.0,2019,1,6,0.0264550264550264,2,2019,1,0,-7.7324731201303445,109.02108086053413
104433280,2019-02-01,1.0,2019,2,1,0.0,2,2019,2,0,-7.732150506177255,109.02108104599407
104433280,2019-03-01,15.147368421052631,2019,3,0,0.0748538011695906,1,2019,3,0,-7.732295867436774,109.021081231454
104433280,2019-04-01,2.0,2019,4,2,0.0052910052910052,2,2019,4,0,-7.732255699786956,109.02108141691394
104433280,2019-05-01,15.147368421052631,2019,5,0,0.0748538011695906,1,2019,5,0,-7.732204845022943,109.02108160237388
104433280,2019-06-01,15.147368421052631,2019,6,0,0.0748538011695906,1,2019,6,0,-7.732402116245757,109.02108178783382
104433280,2019-07-01,15.147368421052631,2019,7,0,0.0748538011695906,1,2019,7,0,-7.7322526528100965,109.02108197329378
104433280,2019-08-01,15.147368421052631,2019,8,0,0.0748538011695906,1,2019,8,0,-7.73232676410909,109.02108215875371
104433280,2019-09-01,15.147368421052631,2019,9,0,0.0748538011695906,1,2019,9,0,-7.732215322922479,109.02108234421365
104433280,2019-10-01,15.147368421052631,2019,10,0,0.0748538011695906,1,2019,10,0,-7.732512722742036,109.02108252967359
104433280,2019-11-01,15.147368421052631,2019,11,0,0.0748538011695906,1,2019,11,0,-7.7323099094300245,109.02108271513353
104433280,2019-12-01,15.147368421052631,2019,12,0,0.0748538011695906,1,2019,12,0,-7.732360282065579,109.02108290059347
104433280,2020-01-01,15.147368421052631,2020,1,0,0.0748538011695906,1,2020,1,0,-7.732256773704937,109.02108308605341
104433280,2020-02-01,15.147368421052631,2020,2,0,0.0748538011695906,1,2020,2,0,-7.7322529955812636,109.02108327151335
104433280,2020-03-01,15.147368421052631,2020,3,0,0.0748538011695906,1,2020,3,0,-7.732370762589483,109.0210834569733
104433280,2020-04-01,15.147368421052631,2020,4,0,0.0748538011695906,1,2020,4,0,-7.732371217386418,109.02108364243324
104433280,2020-05-01,15.147368421052631,2020,5,0,0.0748538011695906,1,2020,5,0,-7.732311066536856,109.02108382789318
104433280,2020-06-01,15.147368421052631,2020,6,0,0.0748538011695906,1,2020,6,0,-7.732389664222732,109.02108401335312
104433280,2020-07-01,12.0,2020,7,12,0.0582010582010582,2,2020,7,0,-7.732215801630455,109.02108419881306
104433280,2020-08-01,6.0,2020,8,6,0.0264550264550264,2,2020,8,0,-7.732336920720045,109.021084384273
104433280,2020-09-01,4.0,2020,9,4,0.0158730158730158,2,2020,9,0,-7.732590698821933,109.02108456973293
104433280,2020-10-01,5.0,2020,10,5,0.0211640211640211,2,2020,10,0,-7.732337482205662,109.02108475519287
104433280,2020-11-01,9.0,2020,11,9,0.0423280423280423,2,2020,11,0,-7.732403854382085,109.02108494065283
104433280,2020-12-01,7.0,2020,12,7,0.0317460317460317,2,2020,12,0,-7.732463127581546,109.02108512611277
104433280,2021-01-01,7.0,2021,1,7,0.0317460317460317,2,2021,1,0,-7.732423742663823,109.0210853115727
104433280,2021-02-01,14.0,2021,2,14,0.0687830687830687,1,2021,2,0,-7.7322890591528175,109.02108549703264
104433280,2021-03-01,12.0,2021,3,12,0.0582010582010582,2,2021,3,0,-7.732167135917176,109.02108568249258
104433280,2021-04-01,11.0,2021,4,11,0.0529100529100529,2,2021,4,0,-7.732268681552614,109.02108586795252
104433280,2021-05-01,14.0,2021,5,14,0.0687830687830687,1,2021,5,0,-7.732360650338822,109.02108605341246
104433280,2021-06-01,15.0,2021,6,15,0.074074074074074,1,2021,6,0,-7.7322544095804835,109.0210862388724
104433280,2021-07-01,5.0,2021,7,5,0.0211640211640211,2,2021,7,1,-7.7323459090310225,109.02108642433234
104433280,2021-08-01,8.0,2021,8,8,0.037037037037037,2,2021,8,1,-7.732369460036916,109.02108660979229
104433280,2021-09-01,11.0,2021,9,11,0.0529100529100529,2,2021,9,1,-7.732415436266824,109.02108679525223
104433280,2021-10-01,11.0,2021,10,11,0.0529100529100529,2,2021,10,1,-7.732475182880676,109.02108698071217
104433280,2021-11-01,10.0,2021,11,10,0.0476190476190476,2,2021,11,1,-7.732338992370656,109.02108716617211
104433280,2021-12-01,11.0,2021,12,11,0.0529100529100529,2,2021,12,1,-7.732284194651008,109.02108735163205
104433280,2022-01-01,15.0,2022,1,15,0.074074074074074,1,2022,1,1,-7.732309662367002,109.02108753709199
104433280,2022-02-01,12.0,2022,2,12,0.0582010582010582,2,2022,2,1,-7.7323415966927955,109.02108772255193
104433280,2022-03-01,10.0,2022,3,10,0.0476190476190476,2,2022,3,1,-7.7323945746060705,109.02108790801186
104433280,2022-04-01,5.0,2022,4,5,0.0211640211640211,2,2022,4,1,-7.7322391753808315,109.02108809347182
104433280,2022-05-01,3.0,2022,5,3,0.0105820105820105,2,2022,5,1,-7.732431713191995,109.02108827893176
104433280,2022-06-01,2.0,2022,6,2,0.0052910052910052,2,2022,6,1,-7.732222397208616,109.0210884643917
104433280,2022-07-01,15.147368421052631,2022,7,0,0.0748538011695906,1,2022,7,1,-7.7324002217018935,109.02108864985163
104433280,2022-08-01,1.0,2022,8,1,0.0,2,2022,8,1,-7.732375243523736,109.02108883531157
104433280,2022-09-01,15.147368421052631,2022,9,0,0.0748538011695906,1,2022,9,1,-7.732446678519062,109.02108902077151
104433280,2022-10-01,15.147368421052631,2022,10,0,0.0748538011695906,1,2022,10,1,-7.732350140214689,109.02108920623145
104433280,2022-11-01,15.147368421052631,2022,11,0,0.0748538011695906,1,2022,11,1,-7.732202468754153,109.02108939169139
104433280,2022-12-01,15.147368421052631,2022,12,0,0.0748538011695906,1,2022,12,1,-7.732248437191156,109.02108957715133
104433280,2023-01-01,15.147368421052631,2023,1,0,0.0748538011695906,1,2023,1,1,-7.732202157788797,109.02108976261128
104433280,2023-02-01,1.0,2023,2,1,0.0,2,2023,2,1,-7.732247785745407,109.02108994807122
104433280,2023-03-01,3.0,2023,3,3,0.0105820105820105,2,2023,3,1,-7.732410366982854,109.02109013353116
104433280,2023-04-01,1.0,2023,4,1,0.0,2,2023,4,1,-7.732333078922433,109.0210903189911
104433280,2023-05-01,12.0,2023,5,12,0.0582010582010582,2,2023,5,1,-7.732378019912912,109.02109050445104
104433280,2023-06-01,24.0,2023,6,24,0.1216931216931216,1,2023,6,1,-7.732166942509597,109.02109068991098
104433280,2023-07-01,22.0,2023,7,22,0.1111111111111111,1,2023,7,1,-7.732419678864643,109.02109087537092
104433280,2023-08-01,23.0,2023,8,23,0.1164021164021164,1,2023,8,1,-7.732210630231061,109.02109106083086
104433280,2023-09-01,27.0,2023,9,27,0.1375661375661375,1,2023,9,1,-7.7322107046129895,109.02109124629081
104433280,2023-10-01,26.0,2023,10,26,0.1322751322751322,1,2023,10,1,-7.732117037979829,109.02109143175075
104433280,2023-11-01,23.0,2023,11,23,0.1164021164021164,1,2023,11,1,-7.732340968659264,109.02109161721069
104433280,2023-12-01,16.0,2023,12,16,0.0793650793650793,1,2023,12,1,-7.732228767784043,109.02109180267063
104433280,2024-01-01,17.0,2024,1,17,0.0846560846560846,1,2024,1,1,-7.732071834816346,109.02109198813056
104433280,2024-02-01,18.0,2024,2,18,0.0899470899470899,1,2024,2,1,-7.732361764167694,109.0210921735905
104433280,2024-03-01,14.0,2024,3,14,0.0687830687830687,1,2024,3,1,-7.732453504024754,109.02109235905044
104433280,2024-04-01,20.0,2024,4,20,0.1005291005291005,1,2024,4,1,-7.732488001003391,109.02109254451038
104433280,2024-05-01,15.0,2024,5,15,0.074074074074074,1,2024,5,1,-7.732228728797114,109.02109272997033
104433280,2024-06-01,24.0,2024,6,24,0.1216931216931216,1,2024,6,1,-7.732488315020806,109.02109291543027
104433280,2024-10-01,15.147368421052631,2024,10,0,0.0748538011695906,1,2024,10,1,-7.732337231905294,109.02109310089021
104433280,2024-11-01,3.0,2024,11,3,0.0105820105820105,2,2024,11,1,-7.732256268681296,109.02109328635015
104433280,2024-12-01,16.0,2024,12,16,0.0793650793650793,1,2024,12,1,-7.732281482446317,109.02109347181009
104433280,2025-01-01,25.0,2025,1,25,0.1269841269841269,1,2025,1,1,-7.732257455513582,109.02109365727003
104433280,2025-02-01,20.0,2025,2,20,0.1005291005291005,1,2025,2,1,-7.73227777101442,109.02109384272997
104433280,2025-03-01,14.0,2025,3,14,0.0687830687830687,1,2025,3,1,-7.732172113418669,109.0210940281899
104433280,2025-04-01,21.0,2025,4,21,0.1058201058201058,1,2025,4,1,-7.732395231638074,109.02109421364985
104433281,2015-04-01,15.0,2015,4,15,0.074074074074074,1,2015,4,2,-7.732367699513846,109.0210943991098
104433281,2015-05-01,15.0,2015,5,15,0.074074074074074,1,2015,5,2,-7.732377265944527,109.02109458456974
104433281,2015-06-01,15.0,2015,6,15,0.074074074074074,1,2015,6,2,-7.732216980818814,109.02109477002968
104433281,2015-07-01,15.0,2015,7,15,0.074074074074074,1,2015,7,2,-7.7322099601411605,109.02109495548962
104433281,2015-08-01,15.0,2015,8,15,0.074074074074074,1,2015,8,2,-7.732254877468068,109.02109514094956
104433281,2015-09-01,9.0,2015,9,9,0.0423280423280423,2,2015,9,2,-7.732181650633311,109.0210953264095
104433281,2015-10-01,11.0,2015,10,11,0.0529100529100529,2,2015,10,2,-7.732417804086738,109.02109551186943
104433281,2015-11-01,19.0,2015,11,19,0.0952380952380952,1,2015,11,2,-7.732133277588845,109.02109569732937
104433281,2015-12-01,18.0,2015,12,18,0.0899470899470899,1,2015,12,2,-7.73214767613783,109.02109588278933
104433281,2016-01-01,13.0,2016,1,13,0.0634920634920634,2,2016,1,2,-7.732226437800276,109.02109606824926
104433281,2016-02-01,16.0,2016,2,16,0.0793650793650793,1,2016,2,2,-7.732121820109123,109.0210962537092
104433281,2016-03-01,17.0,2016,3,17,0.0846560846560846,1,2016,3,2,-7.732465662320768,109.02109643916914
104433281,2016-04-01,17.0,2016,4,17,0.0846560846560846,1,2016,4,2,-7.7323524448136265,109.02109662462908
104433281,2016-05-01,16.0,2016,5,16,0.0793650793650793,1,2016,5,2,-7.732373530346068,109.02109681008902
104433281,2016-06-01,15.0,2016,6,15,0.074074074074074,1,2016,6,2,-7.732227852067624,109.02109699554896
104433281,2016-07-01,14.0,2016,7,14,0.0687830687830687,1,2016,7,2,-7.732405014073961,109.0210971810089
104433281,2016-08-01,12.0,2016,8,12,0.0582010582010582,2,2016,8,2,-7.732224250485067,109.02109736646884
104433281,2016-09-01,14.0,2016,9,14,0.0687830687830687,1,2016,9,2,-7.732162946385601,109.02109755192879
104433281,2016-10-01,19.0,2016,10,19,0.0952380952380952,1,2016,10,2,-7.732230479709992,109.02109773738873
104433281,2016-11-01,15.0,2016,11,15,0.074074074074074,1,2016,11,2,-7.732271624897634,109.02109792284867
104433281,2016-12-01,17.0,2016,12,17,0.0846560846560846,1,2016,12,2,-7.73239878733409,109.0210981083086
104433281,2017-01-01,15.0,2017,1,15,0.074074074074074,1,2017,1,2,-7.732384685096613,109.02109829376855
104433281,2017-02-01,15.0,2017,2,15,0.074074074074074,1,2017,2,2,-7.732175038109471,109.02109847922848
104433281,2017-03-01,14.0,2017,3,14,0.0687830687830687,1,2017,3,2,-7.73222206509961,109.02109866468842
104433281,2017-04-01,15.0,2017,4,15,0.074074074074074,1,2017,4,2,-7.732303901951938,109.02109885014836
104433281,2017-05-01,14.0,2017,5,14,0.0687830687830687,1,2017,5,2,-7.732341790954577,109.02109903560832
104433281,2017-06-01,17.0,2017,6,17,0.0846560846560846,1,2017,6,2,-7.732502580787312,109.02109922106825
104433281,2017-07-01,17.0,2017,7,17,0.0846560846560846,1,2017,7,2,-7.732407085241869,109.0210994065282
104433281,2017-08-01,14.0,2017,8,14,0.0687830687830687,1,2017,8,2,-7.732108858091286,109.02109959198813
104433281,2017-09-01,15.0,2017,9,15,0.074074074074074,1,2017,9,2,-7.732428045557101,109.02109977744807
104433281,2017-10-01,14.0,2017,10,14,0.0687830687830687,1,2017,10,2,-7.732281052017878,109.02109996290801
104433281,2017-11-01,15.0,2017,11,15,0.074074074074074,1,2017,11,2,-7.732199255602681,109.02110014836795
104433281,2017-12-01,14.0,2017,12,14,0.0687830687830687,1,2017,12,2,-7.732425492266801,109.02110033382789
104433281,2018-01-01,15.0,2018,1,15,0.074074074074074,1,2018,1,2,-7.732281528952522,109.02110051928783
104433281,2018-01-01,15.0,2018,1,15,0.074074074074074,1,2018,1,2,-7.732206208446249,109.02110070474778
104433281,2018-02-01,12.0,2018,2,12,0.0582010582010582,2,2018,2,2,-7.73229875006781,109.02110089020772
104433281,2018-02-01,12.0,2018,2,12,0.0582010582010582,2,2018,2,2,-7.732013159694434,109.02110107566766
104433281,2018-03-01,14.0,2018,3,14,0.0687830687830687,1,2018,3,0,-7.732466859925888,109.0211012611276
104433281,2018-03-01,14.0,2018,3,14,0.0687830687830687,1,2018,3,0,-7.732194127147012,109.02110144658754
104433281,2018-04-01,15.0,2018,4,15,0.074074074074074,1,2018,4,0,-7.73231728017374,109.02110163204748
104433281,2018-04-01,15.0,2018,4,15,0.074074074074074,1,2018,4,0,-7.732222807984517,109.02110181750741
104433281,2018-05-01,14.0,2018,5,14,0.0687830687830687,1,2018,5,0,-7.73225586928483,109.02110200296735
104433281,2018-05-01,14.0,2018,5,14,0.0687830687830687,1,2018,5,0,-7.732373315619712,109.0211021884273
104433281,2018-06-01,11.0,2018,6,11,0.0529100529100529,2,2018,6,0,-7.732277100360754,109.02110237388725
104433281,2018-06-01,11.0,2018,6,11,0.0529100529100529,2,2018,6,0,-7.73248579014514,109.02110255934718
104433281,2018-07-01,13.0,2018,7,13,0.0634920634920634,2,2018,7,0,-7.732239675249943,109.02110274480712
104433281,2018-07-01,13.0,2018,7,13,0.0634920634920634,2,2018,7,0,-7.732270184153402,109.02110293026706
104433281,2018-08-01,7.0,2018,8,7,0.0317460317460317,2,2018,8,0,-7.732236133983136,109.021103115727
104433281,2018-08-01,7.0,2018,8,7,0.0317460317460317,2,2018,8,0,-7.732194188167492,109.02110330118694
104433281,2018-09-01,1.0,2018,9,1,0.0,2,2018,9,0,-7.732263238015979,109.02110348664688
104433281,2018-09-01,1.0,2018,9,1,0.0,2,2018,9,0,-7.73228519105802,109.02110367210683
104433281,2018-10-01,14.0,2018,10,14,0.0687830687830687,1,2018,10,0,-7.732388106833667,109.02110385756677
