nsb,mean_pakai,std_pakai,max_pakai,cluster,dist_to_centroid,anomaly,kategori_pelanggan,latitude,longitude
0104433274,25.098484848484848,5.044625056592486,41.0,0,0.06711438010090387,False,Konsumsi Tinggi,-7.702254211574695,109.01495503407808
0104433275,21.535714285714285,13.441852464723665,65.0,1,0.16932978579558147,False,Konsumsi Sedang,-7.702075162156618,109.01497395197389
0104433276,1.2936507936507937,4.199176034066606,22.0,2,0.09491033714452606,False,Konsumsi Rendah,-7.702210048779953,109.01485402039576
0104433277,3.4803149606299213,8.811834028602194,44.0,2,0.18051123711117492,False,Konsumsi Rendah,-7.702042230117914,109.0148985852556
0104433278,11.125984251968504,13.46187569537935,50.0,1,0.10440406309910756,False,Konsumsi Sedang,-7.702180606914218,109.01477974562934
0104433279,23.053435114503817,5.271568117449622,36.0,0,0.03462196772282935,False,Konsumsi Tinggi,-7.702009083768519,109.01481297250248
0104433280,11.069230769230769,9.897293077221176,34.0,1,0.1830420154451958,False,Konsumsi Sedang,-7.702150619070533,109.01470789587768
0104433281,15.679389312977099,3.6716526892322534,32.0,0,0.2250192903592046,False,Konsumsi Tinggi,-7.701983346361103,109.01473651383236
0104433282,13.0,10.435951844900918,45.0,1,0.13533307255745305,False,Konsumsi Sedang,-7.7021145285430785,109.0146252541152
0104433283,29.639097744360903,5.9852575776383,48.0,0,0.16583512365271366,False,Konsumsi Tinggi,-7.701956088383346,109.0146627850419
0104433284,15.090225563909774,13.20035504952742,59.0,1,0.01463058839236705,False,Konsumsi Sedang,-7.702091735328848,109.01454824946919
0104433285,10.503875968992247,2.5437547021079157,21.0,2,0.20936014678217055,False,Konsumsi Rendah,-7.701924462596097,109.01459366516985
0104433286,39.65413533834587,18.82335956584746,72.0,1,0.7000028462671093,True,Konsumsi Sedang,-7.702050516704813,109.01447670458242
0104433287,15.29,11.559503501972792,33.0,1,0.06844420949662736,False,Konsumsi Sedang,-7.7018972046142435,109.01451071854252
0104433288,15.068181818181818,8.788605723441556,46.0,1,0.20779675679811585,False,Konsumsi Sedang,-7.702033397554912,109.01440703873445
0104433289,15.81203007518797,3.5165202668216504,25.0,0,0.22624325249551816,False,Konsumsi Tinggi,-7.701869614963617,109.0144345647373
0104433290,20.75187969924812,5.217113469641527,43.0,0,0.07302186628463415,False,Konsumsi Tinggi,-7.701869614963617,109.0144345647373
0104433291,24.143939393939394,14.289873944153964,69.0,1,0.2444024415647669,False,Konsumsi Sedang,-7.701842356977882,109.01436083594685
0104433292,10.052631578947368,14.99611858341295,54.0,1,0.16581328464606543,False,Konsumsi Sedang,-7.701805934755968,109.0142787401603
0104434126,2.669230769230769,3.431248245169117,15.0,2,0.10164745431554847,False,Konsumsi Rendah,-7.702566081866768,109.0157606151274
0104434130,8.223076923076922,10.765481287818854,48.0,1,0.20601751527940246,False,Konsumsi Sedang,-7.702671170092814,109.01583911105898
0104434131,16.48,21.561839050178587,92.0,1,0.43758377898011686,True,Konsumsi Sedang,-7.702628123052392,109.01586162880974
0104434132,2.7314814814814814,4.890590778068879,32.0,2,0.04543657387898178,False,Konsumsi Rendah,-7.702585752377702,109.01588491646916
0104434133,6.916030534351145,9.619721863833801,80.0,2,0.22959978642258225,False,Konsumsi Rendah,-7.702701764027637,109.0158261018004
